                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.059,                  4.607,                 2.1175,                0.41324,                0.16667,                0.17014,                0.07005,                 1.8063,                 3.6536,                 1.9465,             0.00036084,             0.00036084,             0.00036084
                      2,                 1.7064,                  2.979,                 1.7726,                0.71708,                0.13507,                0.17432,                0.07874,                 2.1915,                 3.1204,                 2.5146,             0.00070704,             0.00070704,             0.00070704
                      3,                 1.7674,                  2.646,                 1.8309,                0.13429,                0.27552,                0.12627,                0.05322,                 2.4527,                  3.604,                 2.4727,              0.0010288,              0.0010288,              0.0010288
                      4,                 1.6862,                  2.433,                 1.7816,                0.36054,                0.27744,                0.18054,                0.07246,                  2.226,                 3.7425,                   2.67,               0.001001,               0.001001,               0.001001
                      5,                 1.7254,                 2.3715,                  1.838,                0.42146,                0.25924,                0.23535,                 0.1116,                 2.0464,                 3.1165,                  2.224,             0.00096435,             0.00096435,             0.00096435
                      6,                 1.6428,                 2.2445,                 1.7487,                0.31721,                0.35627,                0.28729,                 0.1303,                 2.0356,                 2.9401,                 2.1758,             0.00092769,             0.00092769,             0.00092769
                      7,                 1.5987,                 2.0719,                 1.6868,                 0.4152,                0.36953,                 0.3513,                0.17891,                 1.9043,                 2.1033,                 1.9875,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.5564,                 2.0178,                 1.6362,                0.51753,                0.32166,                0.33225,                0.16134,                 1.9656,                 2.1934,                 2.0692,             0.00085436,             0.00085436,             0.00085436
                      9,                  1.534,                 1.9247,                 1.6339,                0.46632,                0.47579,                0.46722,                0.22809,                 1.8283,                 2.0491,                 1.9021,              0.0008177,              0.0008177,              0.0008177
                     10,                 1.4922,                 1.7636,                  1.596,                 0.3595,                0.46905,                0.33112,                0.14676,                  1.849,                 2.3787,                 2.0011,             0.00078103,             0.00078103,             0.00078103
                     11,                 1.4492,                 1.7807,                   1.55,                0.38182,                0.52633,                0.38733,                0.18959,                 1.8482,                 2.2273,                 1.8595,             0.00074437,             0.00074437,             0.00074437
                     12,                 1.4218,                 1.7264,                 1.5262,                0.47533,                0.48314,                0.47805,                0.25603,                 1.6802,                 1.9324,                 1.7364,             0.00070771,             0.00070771,             0.00070771
                     13,                 1.3398,                 1.6547,                 1.4885,                0.47538,                0.55907,                0.50223,                0.25986,                 1.6989,                 1.7016,                 1.7358,             0.00067104,             0.00067104,             0.00067104
                     14,                 1.3598,                 1.5218,                 1.4829,                0.38438,                0.56853,                0.47755,                0.26001,                 1.6767,                 1.7435,                 1.7583,             0.00063438,             0.00063438,             0.00063438
                     15,                 1.2975,                 1.4912,                 1.4609,                  0.382,                0.66092,                0.53581,                0.28568,                 1.6182,                 1.7734,                  1.692,             0.00059772,             0.00059772,             0.00059772
                     16,                 1.3141,                 1.4563,                 1.4645,                0.60344,                0.51352,                0.59181,                0.32789,                 1.6362,                 1.5018,                 1.7157,             0.00056105,             0.00056105,             0.00056105
                     17,                 1.2661,                 1.4047,                 1.4124,                 0.7808,                0.64927,                0.64704,                0.35918,                  1.696,                 1.4431,                  1.785,             0.00052439,             0.00052439,             0.00052439
                     18,                 1.2319,                 1.3022,                 1.3908,                0.55669,                0.53149,                0.55128,                0.29391,                 1.6978,                 1.7652,                 1.7116,             0.00048773,             0.00048773,             0.00048773
                     19,                 1.1865,                 1.2721,                 1.3722,                 0.5887,                0.58285,                0.64056,                0.35076,                 1.6143,                 1.2973,                 1.6874,             0.00045107,             0.00045107,             0.00045107
                     20,                 1.1712,                 1.1796,                 1.3425,                0.74885,                0.57843,                0.70186,                0.42237,                   1.55,                 1.2768,                 1.6335,              0.0004144,              0.0004144,              0.0004144
                     21,                 1.0593,                 1.0162,                 1.3215,                0.69921,                0.57868,                0.68544,                0.39755,                 1.5498,                 1.3098,                 1.6407,             0.00037774,             0.00037774,             0.00037774
                     22,                 1.0079,                0.90839,                 1.2731,                0.79745,                0.55322,                0.71486,                0.44648,                 1.5444,                   1.26,                 1.6317,             0.00034108,             0.00034108,             0.00034108
                     23,                0.98112,                 0.8705,                 1.2678,                0.80744,                0.59654,                 0.7284,                 0.4238,                 1.5372,                 1.3095,                 1.6184,             0.00030441,             0.00030441,             0.00030441
                     24,                0.95563,                0.78471,                 1.2558,                0.76696,                0.65765,                0.75003,                0.46706,                 1.4658,                 1.2708,                 1.5595,             0.00026775,             0.00026775,             0.00026775
                     25,                0.92564,                0.74273,                  1.241,                0.64125,                0.71734,                0.69022,                 0.4179,                 1.5289,                 1.3301,                 1.5891,             0.00023109,             0.00023109,             0.00023109
                     26,                0.90173,                0.74416,                 1.2131,                0.69192,                0.75561,                0.74719,                0.46641,                 1.4369,                 1.1465,                 1.5427,             0.00019442,             0.00019442,             0.00019442
                     27,                0.85649,                0.66394,                 1.1731,                0.78444,                0.66207,                0.75219,                  0.468,                 1.4754,                 1.1785,                 1.5838,             0.00015776,             0.00015776,             0.00015776
                     28,                0.82186,                0.61815,                  1.147,                0.77623,                0.70638,                0.75978,                0.48385,                 1.4527,                 1.1759,                 1.5474,              0.0001211,              0.0001211,              0.0001211
                     29,                0.80441,                 0.5937,                 1.1377,                0.76739,                0.72914,                0.77579,                0.49628,                 1.4508,                  1.196,                 1.5305,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                0.77302,                0.59655,                 1.1065,                0.77293,                0.71795,                0.79302,                0.51916,                 1.4447,                 1.1365,                 1.5282,             4.7773e-05,             4.7773e-05,             4.7773e-05
