                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8133,                 9.9856,                 2.6234,                      0,                      0,                      0,                      0,                 3.0492,                  8.705,                 2.7008,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 2.5704,                 5.9929,                 2.5311,                0.50341,                 0.2944,                0.13286,                0.03687,                 2.3267,                 10.361,                 2.9305,             0.00013966,             0.00013966,             0.00013966
                      3,                 2.0847,                 4.5848,                 2.1014,                 0.4103,                 0.3081,                0.26704,                0.10258,                 1.9836,                 4.1451,                 2.7413,             0.00020753,             0.00020753,             0.00020753
                      4,                 1.5641,                 3.5105,                 1.7833,                0.72582,                0.34534,                 0.3403,                0.14731,                 1.7205,                 3.0935,                 2.3359,             0.00027027,             0.00027027,             0.00027027
                      5,                 1.6398,                 2.9485,                 1.7412,                0.33664,                0.47458,                0.33226,                0.15953,                 1.6514,                 2.9513,                 2.1484,             0.00032788,             0.00032788,             0.00032788
                      6,                 1.5259,                  2.653,                  1.749,                0.42977,                0.67694,                0.50883,                0.27514,                  1.738,                 2.5162,                 2.2243,             0.00038035,             0.00038035,             0.00038035
                      7,                 1.5669,                 2.7884,                  1.821,                0.52024,                0.56366,                0.53336,                0.25582,                 1.7053,                 2.5281,                 1.8949,             0.00042769,             0.00042769,             0.00042769
                      8,                 1.5326,                 2.4484,                 1.5602,                0.42092,                0.63358,                0.44991,                0.21195,                 1.6909,                 2.3827,                 1.8112,              0.0004699,              0.0004699,              0.0004699
                      9,                 1.5039,                 2.1913,                 1.5753,                0.31552,                0.80694,                0.54054,                0.21294,                 1.9686,                 5.1482,                 2.0763,             0.00050697,             0.00050697,             0.00050697
                     10,                 1.5869,                 2.2642,                 1.7346,                0.34927,                0.71944,                0.36618,                0.17172,                 1.8884,                 3.4551,                 1.8993,             0.00053891,             0.00053891,             0.00053891
                     11,                 1.5167,                 2.0897,                 1.5974,                  0.475,                0.34106,                0.25011,                0.09678,                 1.9657,                 2.4592,                 1.9669,             0.00056572,             0.00056572,             0.00056572
                     12,                 1.4235,                 1.8311,                 1.5172,                0.45424,                0.22066,                0.23887,                0.10137,                 2.0291,                 2.9131,                 2.1097,              0.0005874,              0.0005874,              0.0005874
                     13,                 1.5158,                 1.9765,                 1.6443,                0.55372,                0.28861,                0.27673,                0.11782,                 1.9956,                  2.832,                 2.0473,             0.00060394,             0.00060394,             0.00060394
                     14,                 1.3493,                 2.0136,                 1.5215,                0.36285,                0.43609,                0.45086,                 0.2174,                 1.7643,                 2.1905,                 1.7893,             0.00061535,             0.00061535,             0.00061535
                     15,                 1.4446,                 1.8646,                 1.5183,                0.32557,                0.32784,                0.36071,                0.17763,                  1.769,                 2.3949,                 1.8256,             0.00059772,             0.00059772,             0.00059772
                     16,                 1.3804,                 1.5587,                 1.5422,                0.37727,                0.57156,                0.49362,                0.24861,                 1.7345,                 2.9245,                 1.7739,             0.00056105,             0.00056105,             0.00056105
                     17,                 1.4003,                  1.656,                 1.5685,                0.38162,                0.57774,                0.55435,                0.26312,                 1.7171,                 2.2323,                  1.773,             0.00052439,             0.00052439,             0.00052439
                     18,                 1.3597,                 1.6235,                 1.5456,                   0.53,                0.53719,                0.57881,                0.29237,                 1.8381,                 2.1209,                 1.8793,             0.00048773,             0.00048773,             0.00048773
                     19,                 1.2721,                 1.6729,                 1.4755,                0.49785,                0.62079,                0.55471,                0.27183,                 1.9412,                 1.9294,                 1.9368,             0.00045107,             0.00045107,             0.00045107
                     20,                 1.3726,                 1.5113,                 1.5128,                 0.5037,                0.74801,                0.65984,                0.32225,                 1.7835,                  1.785,                  1.793,              0.0004144,              0.0004144,              0.0004144
                     21,                 1.2353,                  1.418,                 1.4785,                0.70666,                0.59199,                0.70637,                0.38958,                 1.6662,                 1.5129,                 1.6868,             0.00037774,             0.00037774,             0.00037774
                     22,                 1.4459,                 1.2625,                 1.6037,                0.54811,                0.67959,                 0.6793,                0.38588,                 1.5928,                 1.2873,                 1.6989,             0.00034108,             0.00034108,             0.00034108
                     23,                 1.1763,                 1.1583,                 1.4205,                0.68195,                0.80404,                0.71978,                0.41521,                 1.6008,                 1.1135,                 1.7567,             0.00030441,             0.00030441,             0.00030441
                     24,                 1.2529,                 1.0755,                 1.4188,                0.73527,                0.81809,                 0.7919,                0.46304,                 1.5412,                 1.0573,                  1.646,             0.00026775,             0.00026775,             0.00026775
                     25,                 1.1178,                 1.0167,                 1.2972,                0.72414,                0.91663,                0.82365,                0.50162,                 1.5539,                 1.0004,                 1.6343,             0.00023109,             0.00023109,             0.00023109
                     26,                 1.1128,                0.92117,                 1.3399,                0.75692,                0.82928,                0.84268,                0.48923,                 1.5977,                0.95688,                 1.6526,             0.00019442,             0.00019442,             0.00019442
                     27,                 1.2287,                 1.1131,                 1.4834,                0.75298,                0.87264,                0.91599,                0.52398,                 1.5766,                0.91977,                 1.6755,             0.00015776,             0.00015776,             0.00015776
                     28,                 1.0256,                0.90013,                 1.2668,                0.76677,                0.83905,                0.90294,                0.52052,                 1.5274,                0.88536,                 1.6537,              0.0001211,              0.0001211,              0.0001211
                     29,                 1.0615,                0.82628,                 1.2656,                0.73136,                0.91631,                0.90359,                0.52645,                 1.5094,                0.86901,                 1.6456,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                0.95859,                0.82516,                 1.2693,                0.74959,                 0.9302,                0.89629,                0.53682,                  1.494,                0.85766,                 1.6381,             4.7773e-05,             4.7773e-05,             4.7773e-05
