                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.4605,                 1.7885,                 1.6551,                0.33164,                0.45198,                0.41856,                0.21223,                 1.7993,                 2.1382,                 2.0883,             0.00063438,             0.00063438,             0.00063438
                     15,                 1.4026,                 1.7757,                 1.6845,                0.44666,                0.40908,                0.49156,                0.23722,                 1.7716,                 1.8819,                 2.0872,             0.00059772,             0.00059772,             0.00059772
                     16,                 1.4334,                 1.6996,                 1.6695,                0.48271,                0.52908,                0.47521,                0.24245,                 1.7597,                  2.057,                 2.0031,             0.00056105,             0.00056105,             0.00056105
                     17,                 1.3381,                 1.6015,                 1.5644,                0.41865,                0.61634,                0.48787,                0.25206,                 1.7306,                 1.6036,                 2.0447,             0.00052439,             0.00052439,             0.00052439
                     18,                 1.3326,                 1.5369,                 1.5704,                0.45661,                0.62818,                0.57184,                0.29658,                 1.6957,                 1.6203,                 1.9963,             0.00048773,             0.00048773,             0.00048773
                     19,                 1.3184,                 1.4814,                 1.5756,                0.46854,                0.65043,                0.56143,                0.29306,                 1.6547,                 1.6717,                 1.9293,             0.00045107,             0.00045107,             0.00045107
                     20,                 1.2701,                 1.4024,                 1.5081,                0.66167,                0.50455,                0.59468,                 0.3229,                 1.7129,                 1.5301,                 1.9571,              0.0004144,              0.0004144,              0.0004144
                     21,                 1.2091,                 1.2501,                 1.5658,                0.61433,                0.68724,                0.62174,                0.33584,                 1.6466,                 1.5798,                 1.9489,             0.00037774,             0.00037774,             0.00037774
                     22,                 1.1318,                 1.1224,                 1.5031,                  0.663,                0.62987,                0.65918,                0.35058,                 1.6775,                 1.4886,                 1.9728,             0.00034108,             0.00034108,             0.00034108
                     23,                 1.1264,                 1.0843,                 1.4963,                0.57555,                0.59713,                0.63363,                 0.3645,                 1.6686,                 1.5214,                 1.9011,             0.00030441,             0.00030441,             0.00030441
                     24,                 1.0603,                0.99328,                 1.4463,                 0.6773,                0.72593,                0.69074,                 0.3868,                 1.5907,                 1.3004,                 1.8876,             0.00026775,             0.00026775,             0.00026775
                     25,                 1.0323,                0.93161,                 1.4457,                0.83653,                0.55892,                0.70696,                0.38085,                 1.6307,                 1.3893,                 1.9113,             0.00023109,             0.00023109,             0.00023109
                     26,                0.99278,                 0.9044,                 1.4036,                0.71595,                0.72754,                0.75527,                0.41288,                 1.5914,                 1.1772,                 1.8679,             0.00019442,             0.00019442,             0.00019442
                     27,                0.95015,                0.83229,                 1.3488,                0.72158,                0.67379,                0.70081,                0.40889,                 1.5843,                 1.3166,                 1.8454,             0.00015776,             0.00015776,             0.00015776
                     28,                0.93017,                0.77865,                 1.3246,                 0.7585,                0.69347,                0.71686,                0.41522,                 1.5584,                 1.2882,                 1.8086,              0.0001211,              0.0001211,              0.0001211
                     29,                0.90717,                0.73934,                 1.3195,                0.67331,                0.72576,                0.72868,                0.42366,                  1.574,                  1.229,                  1.824,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                0.87968,                 0.7215,                 1.2958,                0.67608,                0.72004,                0.75658,                0.44286,                 1.5761,                  1.157,                  1.823,             4.7773e-05,             4.7773e-05,             4.7773e-05
