                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9536,                 4.4915,                 2.0215,                 0.3187,                0.31201,                 0.1787,                0.07802,                 2.0517,                 16.921,                 2.2268,             0.00036084,             0.00036084,             0.00036084
                      2,                 1.8216,                  3.021,                 1.8699,                0.06883,                0.21073,                0.05148,                  0.022,                 2.3333,                 25.159,                 2.5822,             0.00070704,             0.00070704,             0.00070704
                      3,                 1.8231,                 2.7841,                 1.9824,                0.00457,                  0.293,                0.00464,                0.00132,                 3.4811,                  24.85,                 5.2696,              0.0010288,              0.0010288,              0.0010288
                      4,                 1.8137,                 2.6983,                 1.9843,                0.25785,                 0.0125,                0.01519,                0.00201,                 3.9343,                  122.1,                 9.5526,               0.001001,               0.001001,               0.001001
                      5,                  1.861,                 2.6912,                 2.0234,                0.19264,                0.25288,                0.16442,                0.05377,                 2.4756,                 3.4677,                 2.9269,             0.00096435,             0.00096435,             0.00096435
                      6,                 1.7719,                  2.579,                 1.9348,                0.58547,                 0.1692,                0.17225,                0.05485,                  2.567,                 3.3212,                 2.8214,             0.00092769,             0.00092769,             0.00092769
                      7,                 1.7094,                 2.3683,                 1.9054,                0.45084,                0.15063,                0.17221,                0.06589,                  2.423,                 3.0125,                 2.6962,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.6348,                 2.2972,                 1.8268,                0.34134,                0.31738,                0.30773,                0.13947,                 1.9622,                 2.5086,                 2.3584,             0.00085436,             0.00085436,             0.00085436
                      9,                 1.6663,                 2.2208,                 1.8487,                0.38688,                0.26582,                0.25515,                0.10499,                 2.1886,                 3.1455,                 2.4627,              0.0008177,              0.0008177,              0.0008177
                     10,                 1.6064,                 2.0913,                 1.8052,                0.45188,                 0.3904,                0.43227,                0.22613,                 1.7534,                 2.0194,                 2.0549,             0.00078103,             0.00078103,             0.00078103
                     11,                 1.5407,                 1.9685,                 1.7361,                0.52889,                0.36455,                0.41176,                0.20265,                 1.8104,                 2.1157,                 2.0998,             0.00074437,             0.00074437,             0.00074437
                     12,                 1.4592,                 1.8886,                 1.6626,                0.55531,                0.42678,                 0.4545,                0.20621,                 1.8549,                 2.0252,                  2.106,             0.00070771,             0.00070771,             0.00070771
                     13,                 1.4923,                 1.8523,                  1.738,                0.62788,                 0.4034,                0.41187,                0.21871,                 1.8922,                 2.1622,                 2.1284,             0.00067104,             0.00067104,             0.00067104
